,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2022 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
1,E001,University of Visvesvaraya College of Engineering,,,,,,Bangalore,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,--,--,--,371,--,--,--,--,--,--,--,--,--,--,--,298,--,1201,815,--,--,--,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,--,--,34,--,--,--,--,--
CE Civil,,--,--,--,811,--,1101,1367,--,--,--,--,--,--,--,--,356,--,--,613,1078,--,--,--,--
CS Computers,,197,--,--,188,--,--,--,--,--,--,--,--,--,--,--,61,--,133,526,--,--,--,--,--
EC Electronics,,--,--,--,245,--,--,--,--,--,--,--,--,477,--,--,244,439,--,515,--,2602,--,--,--
EE Electrical,,--,--,--,117,--,--,--,--,--,--,--,--,--,--,--,91,--,333,912,--,--,--,--,--
IE Info.Science,,--,--,734,--,--,--,--,--,--,307,--,--,--,--,--,254,--,--,--,--,--,749,--,--
ME Mechanical,,874,--,--,510,--,--,565,--,--,--,--,--,437,--,865,389,519,392,579,--,--,--,--,--
2,E002,S K S J T Institute of Engineering.,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,1516,--,--,--,--,--,--,--,1531,--,--,--,821,--,--,--,--,--,--,--,--
CS Computers,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,449,947,--,2563,--,--,--,--,--
EC Electronics,,--,--,--,1321,--,--,--,--,--,--,--,--,--,--,--,448,--,717,1098,--,--,--,--,--
ST Silk Tech.,,--,--,--,--,--,--,--,--,--,--,--,--,7343,--,--,5889,--,--,--,--,--,--,--,--
TX Textiles,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5014,--,--,--,--,--,--,--,--
3,E003,B M S College of Engineering,,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,343,--,1218,--,--,--,--,--,--,--,--,--,311,--,--,904,--,--,--,--,--
EC Electronics,,--,--,--,102,--,--,--,--,--,--,--,--,--,--,--,25,--,--,342,--,--,--,--,--
EE Electrical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,109,--,248,--,--,--,402,--,--
IM Ind. Engg. Mgmt.,,--,--,--,2230,--,--,--,--,--,--,--,--,--,--,--,2156,--,--,11487,--,--,--,--,--
ME Mechanical,,--,--,--,247,--,--,--,--,--,--,--,--,--,--,--,157,--,220,497,--,--,--,--,--
4,E004,Dr. Ambedkar Institute Of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,1522,--,--,--,--,--,--,--,--,1757,--,--,1059,--,--,1602,--,1609,--,--,--
CS Computers,,--,--,--,503,--,--,--,--,--,--,--,--,--,--,--,290,--,578,538,--,--,--,--,--
EC Electronics,,806,--,--,1011,--,1562,--,--,--,--,--,--,739,--,--,604,--,--,854,1415,--,--,--,--
EE Electrical,,--,--,--,625,--,--,--,--,--,--,--,--,--,--,--,159,--,361,1039,--,--,--,--,--
EI Elec. Inst. Engg,,--,--,--,2518,--,--,--,--,--,--,--,--,--,--,--,1851,--,--,8161,--,--,--,--,--
ET Elec. Telecommn.,,--,--,--,1469,--,--,--,--,--,--,--,--,--,--,--,1280,--,2306,3658,--,--,--,--,--
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IM Ind. Engg. Mgmt.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2516,--,--,--,--,--,16355,--,--
ME Mechanical,,--,--,--,1453,--,--,--,--,--,--,--,--,1928,--,--,1285,1502,1709,1692,--,--,--,--,--
5,E005,R. V. College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,--,--,7953,--,--,--,--,--,--,451,--,--,--,--,--,223,--,--,--,--,--,848,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,,10910,--,--,--,--,--,--,--,--,9740,--,--,--,--,--,7114,--,7426,--,--,--,--,--,--
CE Civil,,--,--,--,387,958,--,--,--,--,--,--,--,189,--,1505,121,--,--,785,--,--,--,--,--
CH Chemical,,5576,--,--,--,--,--,13425,--,--,--,--,--,--,--,--,102,--,--,4091,--,--,--,--,--
CS Computers,,--,--,--,41,--,230,19,--,--,--,--,--,58,--,--,18,23,63,181,--,--,--,--,--
EC Electronics,,377,--,--,73,--,--,--,--,--,--,--,--,70,--,--,67,--,79,321,1360,1788,--,--,--
EE Electrical,,--,--,--,65,--,--,--,--,--,--,--,--,--,--,--,50,--,--,146,--,--,--,--,--
EI Elec. Inst. Engg,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,586,--,1383,--,--,--,1766,--,--
ET Elec. Telecommn.,,--,--,--,464,--,2018,--,--,--,--,--,--,--,--,--,362,--,--,2255,--,--,--,--,--
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,--,--,--,56,--,--,--,--,--,--,--,--,--,--,--,45,--,--,357,--,1632,--,--,--
IM Ind. Engg. Mgmt.,,--,--,--,2250,--,--,--,--,--,--,--,--,--,--,--,1330,--,2254,9475,--,--,--,--,--
ME Mechanical,,--,--,--,262,--,--,--,--,--,--,--,--,171,--,--,86,207,188,432,--,--,--,--,--
SE Aero Space Engg.,,--,--,--,--,--,--,1557,--,--,1082,--,--,--,--,--,391,--,679,--,--,--,--,--,--
6,E006,M S Ramaiah Institute of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2022 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
6,E006,M S Ramaiah Institute of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
"AD Artificial Intel,",,--,--,--,549,--,--,--,--,3704,--,--,--,--,--,--,535,--,--,--,--,--,1228,--,--
Data Sc,,,,,,,,,,,,,,,,,,,,,,,,,
AI Artificial,,--,--,3160,--,--,--,--,--,--,650,--,--,--,--,--,442,--,--,--,--,--,1985,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,--,--,--,--,--,--,--,--
BT Bio Technology,,--,--,--,--,--,--,--,--,--,10998,--,--,--,--,--,10109,--,--,--,--,--,--,--,--
"CA CS (AI, Machine",,770,--,--,--,--,--,823,--,--,--,--,--,--,--,--,375,--,930,--,--,--,--,--,--
Learning),,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,--,--,--,1009,--,--,--,--,--,718,--,--,1178,--,4204,544,962,--,1045,--,--,--,--,--
CH Chemical,,--,--,--,1307,--,--,--,--,--,--,--,--,--,--,--,728,--,2625,12509,--,--,--,--,--
