,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2020 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
1,E001,University Visveswariah College of Engineering,,,,,Bangalore,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,--,40,--,--,--,--,--
CE Civil,,--,--,--,133,--,--,--,--,--,--,--,--,361,--,--,90,223,316,511,--,--,--,--,--
CS Computers,,--,--,--,291,--,865,--,--,--,--,--,--,--,--,--,154,--,--,175,--,--,--,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,109,--,--,--,--,--,69,--,--,--,1771,--,1879,--,--
EE Electrical,,560,--,--,377,--,--,--,--,--,--,--,--,--,--,--,280,--,325,345,--,--,--,--,--
IE Info.Science,,--,--,--,--,--,--,1325,--,--,--,--,--,--,--,--,380,--,945,1767,--,--,--,--,--
ME Mechanical,,--,--,--,114,--,--,--,--,--,--,--,--,160,--,--,88,--,--,254,--,495,--,--,--
2,E002,S K S J T Institute of Engineering.,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,1696,--,--,--,--,--,--,--,--,--,--,--,1550,1627,--,--,--,--,--,--,--
CS Computers,,--,--,--,2243,--,--,--,--,--,2263,--,2934,--,--,--,2113,--,--,2500,--,--,--,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2010,--,2312,2286,--,--,--,--,--
ST Silk Tech.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
TX Textiles,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14856,--,--,--,--,--,--,--,--
3,E003,B M S College of Engineering,,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,--,--,--,112,--,342,--,--,--,108,--,--,--,--,--,1854,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,53,--,--,--,--,--,11,--,--,--,--,--,407,--,--
EE Electrical,,--,--,--,--,--,--,--,--,--,212,--,--,--,549,--,177,--,--,--,--,--,--,--,--
IM Ind. Engg. Mgmt.,,--,--,--,--,--,--,14997,--,--,3915,--,--,5124,--,--,2070,--,--,--,--,--,--,--,--
ME Mechanical,,--,--,--,58,--,--,--,--,--,--,--,--,--,--,--,40,--,44,474,--,--,--,--,--
4,E004,Dr. Ambedkar Institute Of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,1534,--,--,1438,--,--,--,--,--,--,--,--,--,--,--,1147,--,1188,1720,--,--,--,--,--
CS Computers,,--,--,--,1184,--,--,--,--,--,--,--,--,--,--,--,1023,--,1384,4344,--,--,--,--,--
EC Electronics,,--,--,--,1665,--,--,1894,--,--,--,--,--,1526,--,--,1481,1492,--,1635,--,3245,--,--,--
