,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2021 - FIRST ROUND ALLOTMENT ( HYD-KAR ),,,,,,,,,,,,,,,,,,,
1,E001,University Visveswariah College of Engineering,,,,,Bangalore,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,--,--,--,--,--,--,--,--
CE Civil,,815,--,--,216,--,--,--,--,--,--,--,--,598,--,--,201,--,271,492,709,--,--,--,--
CS Computers,,--,--,--,--,--,182,--,--,--,222,--,--,--,--,--,59,--,--,--,--,--,559,--,--
EC Electronics,,--,--,--,--,--,--,426,--,--,--,--,--,--,--,--,218,372,--,432,--,--,--,--,--
EE Electrical,,--,--,--,705,--,--,--,--,--,--,--,--,--,--,--,311,--,441,853,--,--,--,--,--
IE Info.Science,,--,--,--,359,--,--,--,--,--,--,--,--,--,--,--,193,--,--,282,--,4697,--,--,--
ME Mechanical,,--,--,--,171,--,--,--,--,--,--,--,--,207,--,--,117,--,202,233,--,--,--,--,--
2,E002,S K S J T Institute of Engineering.,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,955,--,--,--,--,--,--,--,4019,--,--,--,716,--,--,--,--,--,--,--,--
CS Computers,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,856,1382,--,3568,--,--,--,--,--
EC Electronics,,--,--,--,761,--,--,--,--,--,1061,--,--,--,--,--,551,--,673,705,--,--,--,--,--
ST Silk Tech.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9871,--,--,--,--,--,--,--,--
TX Textiles,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2597,--,--,--,--,--,--,--,--
3,E003,B M S College of Engineering,,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,--,--,--,456,--,1275,--,--,--,136,--,--,--,--,--,999,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,162,--,--,--,--,--,64,--,--,--,--,--,--,--,--
EE Electrical,,--,--,--,--,--,--,--,--,--,270,--,--,--,400,--,177,--,--,--,--,--,1722,--,--
IM Ind. Engg. Mgmt.,,--,--,--,--,--,--,--,--,--,2676,--,--,--,--,--,1730,--,2273,--,--,--,--,--,--
ME Mechanical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,--,20,--,--,--,223,--,--
4,E004,Dr. Ambedkar Institute Of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,3867,--,10694,1973,--,--,--,--,--,1550,--,3902,--,--,--,1471,--,1519,2066,--,--,2698,--,--
