,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2023 - FIRST ALLOTMENT ROUND ( GENERAL ),,,,,,,,,,,,,,,,,,,
1,E001,University of Visvesvaraya College of Engineering,,,,,,Bangalore ( PUBLIC UNIV. ),,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,--,--,--,432,--,--,--,--,--,353,--,--,--,--,--,249,--,463,1733,--,--,--,--,--
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1K44,--,--,12G66,--,--,--,--,--
CE Civil,,1383,--,--,1397,--,--,--,--,--,1137,--,--,1207,--,1567,924,1227,1048,1661,--,2624,1794,--,--
CS Computers,,--,--,--,59,--,138,--,--,--,140,--,--,--,--,--,49,--,--,433,--,--,--,--,--
EC Electronics,,--,--,1068,190,503,--,754,--,--,--,--,--,434,--,--,186,--,--,383,--,--,1857,--,3075
EE Electrical,,--,--,--,176,--,--,167,--,--,--,--,--,--,--,--,143,--,270,337,--,--,--,--,--
IE Info.Science,,495,--,--,--,--,--,--,--,--,--,--,--,--,--,--,166,--,192,1391,--,--,--,--,--
ME Mechanical,,2112,--,--,1882,--,2351,--,4340,--,--,--,--,1438,--,--,876G55,--,1735,2521,3000,3086,4999,--,--
2,E002,S K S J T Institute of Engineering.,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,8171,--,--,3667,4247,--,--,--,--,--,--,--,2787,--,--,2529,--,2692,4636,--,4823,3079,--,15624
CS Computers,,--,--,--,955,--,--,--,--,--,--,--,1029,1053,--,--,615,--,834,1488,--,--,1785,--,--
EC Electronics,,--,--,--,--,--,--,1160,--,--,--,--,--,--,--,--,778,--,--,--,--,2128,4044,--,--
ST Silk Tech.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16957,--,--,--,--,--,--,--,--
TX Textiles,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11351G,--,--,--,--,--,--,--,--
3,E003,B M S College of Engineering,,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,1494,--,--,442,--,--,--,2034,--,420,--,--,--,--,--,--,--,--
EC Electronics,,--,--,--,107,--,--,--,--,--,--,--,76,--,--,--,43,--,--,136,--,--,--,--,--
EE Electrical,,--,--,3641,40,--,--,--,--,--,--,--,--,--,--,--,13,--,--,177,--,--,--,--,--
IM Ind. Engg. Mgmt.,,--,--,--,--,--,--,--,--,--,--,--,--,9581,--,--,1283,--,4184,4726,--,--,--,--,--
ME Mechanical,,1306,--,--,881,--,--,--,--,--,--,--,--,--,--,--,491,--,--,--,--,2413,5166,--,--
4,E004,Dr. Ambedkar Institute Of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,2679,--,--,4000 4414G5 5421,,2535,--,--,3485,--,--,2184,--,2575,1950,--,2572,3324,--,4142,7183,--,--,
CS Computers,,--,--,--,323,--,--,--,--,--,438,--,--,--,--,--,288,--,--,1275,--,--,--,--,6136
EC Electronics,,--,--,--,726,1046,--,--,--,--,--,--,--,1191,--,--,594,--,996,1108,--,--,3310,--,--
EE Electrical,,--,--,--,777,--,--,--,--,--,--,--,--,--,--,--,419,--,719,714,--,--,--,--,--
